buckfast 1.3.2                                                                                      ,

*HEADING,
Buckfast example - Pipeline A - Scenario 1                                                          ,

*SIMULATION,
number of simulations,              100000,

*WATER,
temperature of sea-water (°C),        4.0000000000,,
density of sea-water (kg.m-3),     1025.0000000000,,

*AXIALFRICTION,                   1,,
distribution,LOGNORMAL           ,,
mean,        0.5170000000,,
standard deviation,        0.1370000000,,

*SINGLE,                   1,,
diameter (mm),      273.1000000000,,
wall thickness (mm),       25.4000000000,,
density of steel (kg.m-3),     7850.0000000000,,
elastic modulus (N.mm-2),   207000.0000000000,,
Poisson's ratio,        0.3000000000,,
coefficient of thermal expansion (°C-1),        0.0000117000,,
thickness of coating (mm),      300.0000000000,                   1,
density of coating (kg.m-3),      990.5815642546,                   1,
density of contents during operation (kg.m-3),      799.9858676179,,
density of contents during installation (kg.m-3),        1.3136056940,,

length of pipeline (m),    20000.0000000000,,



number of simulations,              100000,
number of simulations with one or more buckles,              100000,
probability of one or more buckles,    0.1000000000E+01,
                    ,
                    ,mean,standard deviation,minimum,maximum,
number of buckles,    0.7195110000E+01,    0.1829781978E+01,                   2,                  19,

element,centroid of element,number of simulations with a buckle,probability of buckling,probability of not buckling,mean of the VAS,standard deviation of the VAS,minimum VAS,maximum VAS,
,(m),,,,(m),(m),(m),(m),
        6.6500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        6.7000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        6.7500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        6.8000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        6.8500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        6.9000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        6.9500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.0000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.0500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.1000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.1500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.2000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.2500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.3000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.3500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.4000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.4500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.5000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.5500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.6000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.6500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.7000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.7500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.8000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.8500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.9000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        7.9500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.0000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.0500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.1000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.1500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.2000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.2500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.3000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.3500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.4000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.4500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.5000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.5500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.6000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.6500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.7000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.7500000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.8000000000,                   0,    0.0000000000E+00,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.8500000000,                   1,    0.1000000000E-04,    0.9999900000E+00,    0.1000000000E-04,,                   2
        8.9000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        8.9500000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.0000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.0500000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.1000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.1500000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.2000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.2500000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.3000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.3500000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.4000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.4500000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.5000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.5500000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.6000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.6500000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.7000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.7500000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.8000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.8500000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.9000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
        9.9500000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2
       10.0000000000,                   0,    0.0000000000E+00,    0.1000000000E+01,    0.0000000000E+00,,                   2


*ELSET,


element set,                   1,                   2,                   3,                   4,                   5,                   6,                   7,                   8,                   9,                  10,                  11,                  12,                  13,                  14,                  15,                  16,                  17,                  18,                  19,                  20,


critical buckling force,frequency,
N,,
        0.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
   -20000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
   -40000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
   -60000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
   -80000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
  -100000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
  -120000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
  -140000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
  -160000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
  -180000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
  -200000.0000000000,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,
  -220000.0000000000,                   1,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,
  -240000.0000000000,                   0,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   2,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,
  -260000.0000000000,                   2,                   1,                   1,                   0,                   2,                   1,                   1,                   2,                   0,                   0,                   0,                   0,                   2,                   0,                   0,                   1,                   5,                   1,                   2,                   0,
  -280000.0000000000,                   1,                   3,                   0,                   3,                   4,                   2,                   0,                   2,                   3,                   0,                   2,                   2,                   3,                   1,                   1,                   4,                   4,                   2,                   1,                   0,
  -300000.0000000000,                   5,                   4,                   4,                   8,                   4,                   6,                   4,                   6,                   6,                   4,                   8,                   8,                   5,                   6,                   2,                   7,                   3,                   9,                   7,                   0,
  -320000.0000000000,                   9,                  15,                   6,                   8,                  11,                   7,                  14,                  11,                  16,                  18,                  12,                  12,                   8,                  13,                  12,                   9,                  16,                   6,                   7,                   5,
  -340000.0000000000,                  13,                  27,                  24,                  20,                  13,                  13,                  22,                  16,                  27,                  16,                  14,                  19,                  20,                  26,                  17,                  26,                  23,                  18,                  13,                  14,
  -360000.0000000000,                  15,                  28,                  43,                  42,                  38,                  39,                  24,                  39,                  25,                  39,                  33,                  40,                  28,                  31,                  35,                  30,                  37,                  47,                  29,                  20,
  -380000.0000000000,                  27,                  60,                  60,                  48,                  54,                  52,                  73,                  48,                  48,                  48,                  57,                  65,                  66,                  52,                  63,                  56,                  61,                  69,                  53,                  25,
  -400000.0000000000,                  30,                 104,                  90,                  94,                  98,                  76,                  73,                  89,                  66,                  68,                  81,                  80,                  74,                 104,                  76,                  81,                  88,                  80,                  96,                  33,
  -420000.0000000000,                  62,                 140,                 108,                 138,                 139,                 111,                 132,                 101,                 115,                 113,                 111,                 127,                 137,                 136,                 117,                 103,                 135,                 155,                 145,                  45,
  -440000.0000000000,                  57,                 199,                 189,                 191,                 204,                 185,                 170,                 186,                 174,                 174,                 183,                 183,                 181,                 182,                 164,                 160,                 197,                 165,                 198,                  60,
  -460000.0000000000,                  60,                 246,                 229,                 255,                 242,                 248,                 258,                 245,                 227,                 250,                 244,                 259,                 274,                 269,                 271,                 238,                 231,                 241,                 206,                  77,
  -480000.0000000000,                  74,                 325,                 336,                 336,                 327,                 353,                 336,                 351,                 306,                 318,                 304,                 278,                 345,                 330,                 343,                 357,                 352,                 325,                 333,                 108,
  -500000.0000000000,                 104,                 416,                 393,                 410,                 446,                 449,                 406,                 407,                 456,                 410,                 416,                 455,                 460,                 427,                 486,                 430,                 448,                 395,                 421,                 101,
  -520000.0000000000,                  97,                 509,                 535,                 520,                 473,                 559,                 564,                 509,                 559,                 506,                 520,                 538,                 520,                 523,                 509,                 476,                 533,                 544,                 520,                 105,
  -540000.0000000000,                 117,                 582,                 712,                 648,                 690,                 637,                 661,                 650,                 671,                 647,                 680,                 605,                 712,                 653,                 635,                 680,                 606,                 631,                 590,                 110,
  -560000.0000000000,                  97,                 738,                 814,                 791,                 744,                 781,                 860,                 748,                 766,                 779,                 812,                 747,                 751,                 787,                 807,                 747,                 768,                 768,                 822,                 107,
  -580000.0000000000,                 113,                 861,                 988,                 899,                 918,                 921,                 946,                 951,                 928,                 942,                 935,                 902,                 890,                 934,                 977,                 863,                 938,                 968,                 887,                  88,
  -600000.0000000000,                 118,                 989,                1041,                1062,                1009,                1030,                1048,                1074,                1065,                1073,                1061,                1036,                1112,                1045,                1116,                1095,                1069,                1063,                 969,                 107,
  -620000.0000000000,                 123,                1048,                1201,                1278,                1196,                1177,                1189,                1163,                1201,                1203,                1209,                1186,                1174,                1218,                1153,                1165,                1209,                1219,                1077,                 113,
  -640000.0000000000,                 110,                1199,                1341,                1315,                1308,                1346,                1354,                1373,                1336,                1370,                1338,                1275,                1312,                1341,                1382,                1326,                1290,                1294,                1160,                  88,
  -660000.0000000000,                  86,                1236,                1437,                1402,                1436,                1426,                1527,                1486,                1476,                1425,                1450,                1488,                1405,                1449,                1409,                1474,                1513,                1483,                1259,                 126,
  -680000.0000000000,                 110,                1299,                1563,                1524,                1573,                1510,                1570,                1608,                1618,                1517,                1560,                1510,                1508,                1479,                1507,                1544,                1540,                1594,                1261,                  83,
  -700000.0000000000,                  73,                1344,                1618,                1705,                1640,                1668,                1621,                1633,                1696,                1663,                1582,                1668,                1715,                1642,                1669,                1693,                1651,                1593,                1312,                  54,
  -720000.0000000000,                  64,                1427,                1784,                1714,                1676,                1763,                1664,                1693,                1707,                1713,                1677,                1703,                1701,                1727,                1723,                1754,                1708,                1728,                1366,                  67,
  -740000.0000000000,                  52,                1345,                1701,                1697,                1719,                1752,                1818,                1787,                1708,                1802,                1763,                1765,                1761,                1751,                1792,                1779,                1751,                1763,                1357,                  64,
  -760000.0000000000,                  55,                1276,                1756,                1788,                1826,                1841,                1760,                1730,                1747,                1810,                1850,                1819,                1873,                1819,                1768,                1807,                1777,                1799,                1406,                  41,
  -780000.0000000000,                  49,                1354,                1803,                1847,                1846,                1760,                1773,                1823,                1713,                1850,                1682,                1814,                1809,                1791,                1871,                1775,                1772,                1796,                1344,                  43,
  -800000.0000000000,                  42,                1339,                1780,                1718,                1804,                1801,                1722,                1801,                1828,                1796,                1706,                1776,                1781,                1751,                1755,                1788,                1800,                1789,                1242,                  40,
  -820000.0000000000,                  32,                1216,                1730,                1668,                1679,                1756,                1672,                1746,                1752,                1689,                1728,                1667,                1695,                1629,                1705,                1712,                1716,                1771,                1238,                  29,
  -840000.0000000000,                  18,                1158,                1705,                1642,                1656,                1641,                1623,                1607,                1641,                1686,                1603,                1689,                1672,                1673,                1603,                1670,                1660,                1784,                1115,                  17,
  -860000.0000000000,                  16,                1067,                1734,                1615,                1622,                1564,                1639,                1519,                1551,                1568,                1588,                1602,                1632,                1628,                1609,                1559,                1543,                1694,                1087,                  21,
  -880000.0000000000,                  16,                 985,                1543,                1488,                1505,                1448,                1456,                1441,                1529,                1528,                1503,                1493,                1471,                1539,                1440,                1546,                1482,                1541,                1011,                  15,
  -900000.0000000000,                  16,                 934,                1520,                1438,                1274,                1406,                1371,                1377,                1444,                1433,                1369,                1422,                1400,                1409,                1429,                1352,                1422,                1509,                 918,                  22,
  -920000.0000000000,                  12,                 816,                1336,                1339,                1243,                1358,                1281,                1244,                1317,                1275,                1346,                1326,                1245,                1291,                1335,                1243,                1325,                1372,                 857,                  10,
  -940000.0000000000,                   7,                 755,                1252,                1176,                1160,                1166,                1161,                1243,                1190,                1166,                1214,                1190,                1168,                1149,                1219,                1144,                1189,                1299,                 760,                   6,
  -960000.0000000000,                  11,                 634,                1155,                1043,                1086,                1090,                1069,                1092,                1061,                1087,                1042,                1080,                1073,                1081,                1109,                1085,                1067,                1194,                 630,                   7,
  -980000.0000000000,                   5,                 549,                1043,                1000,                 991,                 957,                 938,                 997,                 966,                 933,                 991,                 984,                1036,                 978,                 959,                1052,                 970,                1123,                 623,                   5,
 -1000000.0000000000,                   4,                 503,                1058,                 918,                 882,                 859,                 866,                 868,                 890,                 888,                 915,                 885,                 825,                 871,                 932,                 923,                 853,                 996,                 523,                   3,
 -1020000.0000000000,                   2,                 454,                 858,                 738,                 780,                 797,                 779,                 803,                 761,                 775,                 817,                 831,                 755,                 780,                 769,                 793,                 779,                 911,                 431,                   5,
 -1040000.0000000000,                   7,                 386,                 760,                 734,                 724,                 690,                 717,                 711,                 736,                 665,                 684,                 710,                 688,                 678,                 716,                 660,                 699,                 842,                 392,                   5,
 -1060000.0000000000,                   1,                 354,                 723,                 654,                 651,                 590,                 629,                 680,                 642,                 604,                 602,                 610,                 585,                 645,                 597,                 616,                 564,                 713,                 331,                   1,
 -1080000.0000000000,                   5,                 293,                 635,                 580,                 533,                 541,                 548,                 554,                 565,                 596,                 583,                 561,                 494,                 525,                 526,                 550,                 585,                 592,                 294,                   6,
 -1100000.0000000000,                   1,                 281,                 589,                 474,                 485,                 496,                 500,                 474,                 494,                 488,                 476,                 487,                 541,                 486,                 490,                 481,                 506,                 547,                 227,                   1,
 -1120000.0000000000,                   0,                 195,                 495,                 455,                 415,                 425,                 400,                 416,                 382,                 431,                 384,                 395,                 372,                 421,                 433,                 402,                 428,                 498,                 241,                   0,
 -1140000.0000000000,                   1,                 182,                 397,                 363,                 372,                 364,                 364,                 372,                 353,                 358,                 372,                 345,                 353,                 344,                 371,                 349,                 374,                 427,                 229,                   0,
 -1160000.0000000000,                   0,                 148,                 359,                 282,                 314,                 297,                 289,                 332,                 299,                 320,                 314,                 331,                 298,                 296,                 308,                 316,                 330,                 367,                 163,                   0,
 -1180000.0000000000,                   0,                 137,                 324,                 275,                 253,                 276,                 286,                 286,                 244,                 270,                 266,                 284,                 253,                 260,                 269,                 261,                 273,                 310,                 126,                   0,
 -1200000.0000000000,                   1,                  99,                 268,                 227,                 219,                 242,                 212,                 227,                 234,                 229,                 227,                 224,                 207,                 205,                 216,                 203,                 220,                 264,                 111,                   0,
 -1220000.0000000000,                   0,                 100,                 219,                 217,                 209,                 193,                 179,                 185,                 173,                 199,                 216,                 195,                 224,                 200,                 191,                 197,                 188,                 251,                  77,                   0,
 -1240000.0000000000,                   0,                  67,                 206,                 167,                 148,                 189,                 153,                 151,                 154,                 155,                 149,                 184,                 182,                 164,                 161,                 164,                 150,                 197,                  68,                   0,
 -1260000.0000000000,                   0,                  58,                 198,                 150,                 145,                 151,                 149,                 156,                 133,                 145,                 128,                 148,                 150,                 142,                 148,                 119,                 138,                 197,                  62,                   0,
 -1280000.0000000000,                   0,                  48,                 145,                 131,                 111,                 100,                 143,                  97,                 123,                 113,                 108,                 118,                 109,                 115,                 112,                  93,                 130,                 169,                  47,                   0,
 -1300000.0000000000,                   0,                  45,                 124,                  93,                  97,                 107,                 101,                 106,                 102,                  92,                  91,                 108,                 111,                  85,                 111,                  83,                 103,                 117,                  52,                   0,
 -1320000.0000000000,                   0,                  37,                 129,                  64,                  87,                  80,                  75,                  79,                  95,                  83,                  70,                  87,                  72,                  84,                  74,                  68,                  79,                  94,                  31,                   0,
 -1340000.0000000000,                   0,                  28,                 100,                  83,                  77,                  61,                  64,                  71,                  69,                  73,                  68,                  65,                  86,                  83,                  64,                  71,                  73,                  77,                  28,                   0,
 -1360000.0000000000,                   0,                  15,                  72,                  61,                  67,                  75,                  50,                  48,                  56,                  73,                  71,                  53,                  62,                  53,                  60,                  62,                  52,                  71,                  23,                   0,
 -1380000.0000000000,                   0,                  16,                  69,                  59,                  50,                  40,                  37,                  49,                  54,                  43,                  58,                  50,                  51,                  53,                  53,                  49,                  53,                  63,                  29,                   0,
 -1400000.0000000000,                   0,                  14,                  55,                  38,                  48,                  33,                  45,                  38,                  39,                  45,                  40,                  35,                  44,                  40,                  52,                  37,                  44,                  48,                  14,                   0,
 -1420000.0000000000,                   0,                  13,                  51,                  29,                  34,                  31,                  35,                  33,                  39,                  42,                  39,                  34,                  32,                  37,                  32,                  33,                  38,                  57,                  12,                   0,
 -1440000.0000000000,                   0,                  10,                  39,                  32,                  27,                  28,                  29,                  31,                  26,                  27,                  26,                  23,                  18,                  33,                  24,                  26,                  28,                  35,                  13,                   0,
 -1460000.0000000000,                   0,                  10,                  30,                  26,                  22,                  25,                  23,                  21,                  17,                  21,                  20,                  31,                  27,                  29,                  19,                  26,                  25,                  26,                   3,                   0,
 -1480000.0000000000,                   0,                   6,                  30,                  15,                  17,                  20,                  13,                   9,                  13,                  21,                  17,                  21,                  25,                  17,                  21,                  15,                  21,                  31,                   6,                   0,
 -1500000.0000000000,                   0,                   4,                  24,                  14,                   9,                  21,                   7,                  14,                  16,                  10,                  24,                  17,                   7,                  13,                  15,                  22,                  19,                  20,                   3,                   0,
 -1520000.0000000000,                   0,                   7,                  11,                  14,                  13,                  16,                  21,                   9,                   9,                  17,                  11,                  14,                  12,                  11,                  23,                  10,                  12,                  17,                   6,                   0,
 -1540000.0000000000,                   0,                   2,                  10,                   9,                   9,                  14,                   5,                  10,                  14,                  12,                   9,                   9,                   6,                   6,                   9,                  17,                  13,                  21,                   1,                   0,
 -1560000.0000000000,                   0,                   4,                   9,                   5,                  15,                   5,                  13,                   6,                   9,                   5,                   6,                  10,                   9,                  12,                   9,                   4,                   9,                  12,                   3,                   0,
 -1580000.0000000000,                   0,                   4,                   6,                  11,                   4,                   9,                   7,                   6,                   6,                  11,                   6,                   4,                  11,                   6,                   5,                   6,                   9,                  12,                   1,                   0,
 -1600000.0000000000,                   0,                   1,                  10,                   7,                   8,                   5,                   3,                   3,                   2,                   8,                   8,                   4,                   5,                   2,                   6,                   8,                   4,                   6,                   3,                   0,
 -1620000.0000000000,                   0,                   1,                   5,                   3,                   8,                   3,                   6,                   9,                   5,                   3,                   6,                   4,                   1,                   7,                   4,                   4,                   3,                   3,                   6,                   0,
